RECORDING_SESSION_LABEL	Lang_order	DELE	MELICET	dominance
101	SCS2_E2	36	41	0.87804878
102	SCS2_E2	34	47	0.723404255
3	E2_SCS2	30	46	0.652173913
4	E2_SCS2	27	47	0.574468085
5	E1_SCS1	30	47	0.638297872
6	SCS2_E2	45	33	1.363636364
7	SCS2_E1	27	44	0.613636364
8	SCS2_E1	42	43	0.976744186
9	E1_SCS1	29	46	0.630434783
10	E1_SCS1	44	44	1
11	E2_SCS2	29	45	0.644444444
12	E2_SCS2	36	46	0.782608696
13	E2_SCS1	35	46	0.760869565
14	E2_SCS1	33	43	0.76744186
15	SCS1_E2	33	42	0.785714286
16	SCS2_E1	41	47	0.872340426
17	SCS1_E2	38	36	1.055555556
18	SCS1_E2	33	47	0.70212766
19	SCS1_E1	41	41	1
20	E2_SCS2	32	50	0.64
21	E1_SCS2	39	47	0.829787234
22	E1_SCS2	28	48	0.583333333
24	SCS2_E1	32	37	0.864864865
25	E1_SCS1	33	42	0.785714286
26	E1_SCS1	19	43	0.441860465
27	SCS1_E1	42	43	0.976744186
28	SCS1_E1	39	42	0.928571429
29	E2_SCS1	30	48	0.625
30	E2_SCS1	19	34	0.558823529
31	SCS1_E2	39	48	0.8125
