RECORDING_SESSION_LABEL,word_order,use_rating,exposure_rating,offensiveness_rating,taboo_rating,valence_rating,arousal_rating,imagery_rating,critical_word,taboo_status,item_num,list,part_item
1,1,6,8,1,8,3,7,2,horny,taboo,1,1,1_1
1,2,9,8,1,1,5,1,1,show,neut,6,1,1_6
1,3,8,8,3,8,1,5,8,shit,taboo,7,1,1_7
1,4,5,5,1,1,5,1,9,wolf,neut,12,1,1_12
1,5,5,6,1,9,3,5,6,masturbation,taboo,13,1,1_13
1,6,8,9,1,1,5,1,9,knees,neut,18,1,1_18
1,7,4,5,1,9,3,5,8,pubic hair,taboo,19,1,1_19
1,8,7,6,1,1,5,1,9,flour,neut,24,1,1_24
1,9,2,5,1,9,3,7,6,dildo,taboo,25,1,1_25
1,10,8,8,1,1,5,1,9,motorcycle,neut,30,1,1_30
1,11,2,3,1,8,4,7,6,testicles,taboo,31,1,1_31
1,12,9,9,1,1,5,1,9,girls,neut,36,1,1_36
1,13,1,7,1,7,2,5,6,handjob,taboo,37,1,1_37
1,14,7,9,1,1,5,1,9,shoulders,neut,42,1,1_42
1,15,2,4,1,8,4,7,6,cock,taboo,43,1,1_43
1,16,8,8,1,1,5,1,9,airplane,neut,48,1,1_48
1,17,7,8,1,1,5,1,9,clap,neut,4,1,1_4
1,18,2,5,1,6,4,5,6,penises,taboo,5,1,1_5
1,19,9,9,1,1,5,1,9,legs,neut,10,1,1_10
1,20,5,4,1,7,3,6,7,piss,taboo,11,1,1_11
1,21,7,9,1,1,6,1,8,art,neut,16,1,1_16
1,22,1,2,1,8,3,5,5,anus,taboo,17,1,1_17
1,23,9,9,1,1,2,1,2,obligations,neut,22,1,1_22
1,24,4,6,1,7,4,8,6,erection,taboo,23,1,1_23
1,25,8,8,1,1,5,1,9,mascara,neut,28,1,1_28
1,26,6,9,1,7,4,1,8,menstruation,taboo,29,1,1_29
1,27,4,8,1,1,5,1,7,speeches,neut,34,1,1_34
1,28,2,4,1,9,2,6,4,erotic,taboo,35,1,1_35
1,29,9,9,1,1,5,1,9,water,neut,40,1,1_40
